lg1_ord1_scaf1770	lg1_ord1_scaf1770	0.93	0.01	1276693	A
lg1_ord2_scaf1805	lg1_ord2_scaf1805	0.90	0.01	789442	A
lg1_ord3_scaf3073	lg1_ord3_scaf3073	0.87	0.01	1390504	A
lg1_ord4_scaf4055	lg1_ord4_scaf4055	0.92	0.01	1013403	A
lg1_ord5_scaf3042	lg1_ord5_scaf3042	0.93	0.01	7103203	A
lg1_ord6_scaf2940	lg1_ord6_scaf2940	0.93	0.01	4303829	A
lg1_ord7_scaf1290	lg1_ord7_scaf1290	0.90	0.02	1128417	A
lg1_ord8_scaf1167	lg1_ord8_scaf1167	0.84	0.02	1287409	A
lg1_ord9_scaf306	lg1_ord9_scaf306	0.91	0.01	5747275	A
lg1_ord10_scaf3121	lg1_ord10_scaf3121	0.78	0.02	411882	A
lg1_ord11_scaf927	lg1_ord11_scaf927	0.93	0.01	2201936	A
lg1_ord12_scaf1521	lg1_ord12_scaf1521	0.84	0.01	401888	A
lg1_ord13_scaf1765	lg1_ord13_scaf1765	0.94	0.01	3972233	A
lg1_ord14_scaf93	lg1_ord14_scaf93	0.80	0.04	443290	A
lg1_ord15_scaf604	lg1_ord15_scaf604	0.92	0.01	1756641	A
lg1_ord16_scaf3731	lg1_ord16_scaf3731	0.92	0.02	471665	A
lg1_ord17_scaf1243	lg1_ord17_scaf1243	0.93	0.01	12809898	A
lg1_ord18_scaf1423	lg1_ord18_scaf1423	0.89	0.02	6661065	A
lg1_ord19_scaf1181	lg1_ord19_scaf1181	0.84	0.02	2581104	A
lg1_ord20_scaf3195	lg1_ord20_scaf3195	0.80	0.02	984144	A
lg2_ord1_scaf179	lg2_ord1_scaf179	0.91	0.00	1058	A
lg2_ord2_scaf795	lg2_ord2_scaf795	0.84	0.01	161833	A
lg2_ord3_scaf1862	lg2_ord3_scaf1862	0.84	0.04	207464	A
lg2_ord4_scaf2063	lg2_ord4_scaf2063	0.85	0.04	122517	A
lg2_ord5_scaf2412	lg2_ord5_scaf2412	0.87	0.03	326625	A
lg2_ord6_scaf2551	lgNA_ordNA_scaf2551	0.00	0.00	1275	NA
lg2_ord7_scaf2771	lg2_ord7_scaf2771	0.89	0.03	186972	A
lg2_ord8_scaf3168	lg2_ord8_scaf3168	0.85	0.00	45236	A
lg2_ord9_scaf3581	lg2_ord9_scaf3581	0.83	0.02	423188	A
lg2_ord10_scaf3734	lg2_ord10_scaf3734	0.94	0.01	162486	A
lg2_ord11_scaf3795	lg2_ord11_scaf3795	0.90	0.02	415273	A
lg2_ord12_scaf3061	lg2_ord12_scaf3061	0.95	0.00	1184	A
lg2_ord13_scaf1953	lgNA_ordNA_scaf1953	0.51	0.41	4193015	NA
lg2_ord14_scaf2054	lg2_ord14_scaf2054	0.87	0.03	853338	A
lg2_ord15_scaf2711	lg2_ord15_scaf2711	0.91	0.02	1233890	A
lg2_ord16_scaf3783	lg2_ord16_scaf3783	0.87	0.01	502907	A
lg2_ord17_scaf3326	lg2_ord17_scaf3326	0.87	0.01	483826	A
lg2_ord18_scaf623	lg2_ord18_scaf623	0.74	0.08	120218	A
lg2_ord19_scaf354	lg2_ord19_scaf354	0.86	0.03	403224	A
lg2_ord20_scaf804	lg2_ord20_scaf804	0.93	0.01	131425	A
