Type	Kimura	Genome_percent
LINE/CR1	6	0.02591525
LINE/RTE	6	0.16865975
LINE	6	0.027103
LINE/L1	6	0
LTR	6	0.008066
LTR/Gypsy	6	0.272923083333
LTR/Copia	6	0.0253578333333
RC/Helitron	6	0.0207056666667
DNA/Transib	6	0.00012775
DNA/TcMar	6	0.0347893333333
DNA/Sola	6	0.00596525
DNA/PiggyBac	6	0.00226716666667
DNA/P	6	0.00153258333333
DNA	6	0.0910384166667
DNA/Maverick	6	0.0803380833333
DNA/Kolobok	6	0.00132741666667
DNA/hAT	6	0.39649925
DNA/Harbinger	6	0.00821133333333
DNA/Ginger	6	0.000156166666667
DNA/Academ	6	0.0121033333333
Other	6	0.0326949166667
SINE	7	0.0159148333333
LINE/R2	7	0.00602883333333
LINE/Jockey-I	7	0.074119
LINE/R1	7	0.0139261666667
LINE/LOA	7	0
LINE/L2	7	0.00722783333333
LINE/CR1	7	0.033455
LINE/RTE	7	0.193606916667
LINE	7	0.0263530833333
LINE/L1	7	0
LTR	7	0.009783
LTR/Gypsy	7	0.24426625
LTR/Copia	7	0.0194911666667
RC/Helitron	7	0.0161674166667
DNA/Transib	7	9.65833333333e-05
DNA/TcMar	7	0.0422900833333
DNA/Sola	7	0.006632
DNA/PiggyBac	7	0.00309891666667
DNA/P	7	0.00058725
DNA	7	0.100024083333
DNA/Maverick	7	0.100626416667
DNA/Kolobok	7	0.00211233333333
DNA/hAT	7	0.357113666667
DNA/Harbinger	7	0.00829866666667
DNA/Ginger	7	0.000371833333333
DNA/Academ	7	0.0108135
Other	7	0.0345179166667
SINE	8	0.01919925
LINE/R2	8	0.01178075
LINE/Jockey-I	8	0.06817875
LINE/R1	8	0.0135815
LINE/LOA	8	1.09166666667e-05
LINE/L2	8	0.00750866666667
LINE/CR1	8	0.0276505833333
LINE/RTE	8	0.20883875
LINE	8	0.0258684166667
LINE/L1	8	0
LTR	8	0.00785591666667
LTR/Gypsy	8	0.1947575
LTR/Copia	8	0.0170869166667
RC/Helitron	8	0.0129195833333
DNA/Transib	8	0.000155666666667
DNA/TcMar	8	0.0451526666667
DNA/Sola	8	0.00562416666667
DNA/PiggyBac	8	0.00176733333333
DNA/P	8	0.000635083333333
DNA	8	0.0859219166667
DNA/Maverick	8	0.109668833333
DNA/Kolobok	8	0.00285041666667
DNA/hAT	8	0.314005916667
DNA/Harbinger	8	0.00775125
DNA/Ginger	8	0.000689083333333
DNA/Academ	8	0.01376225
Other	8	0.0298641666667
SINE	9	0.0255449166667
LINE/R2	9	0.0172545
LINE/Jockey-I	9	0.0729195833333
LINE/R1	9	0.0124416666667
LINE/LOA	9	0
LINE/L2	9	0.006195
LINE/CR1	9	0.0208485
LINE/RTE	9	0.22922175
LINE	9	0.0221373333333
LINE/L1	9	0
LTR	9	0.00756766666667
LTR/Gypsy	9	0.161351916667
LTR/Copia	9	0.0137380833333
RC/Helitron	9	0.0118871666667
DNA/Transib	9	7.89166666667e-05
DNA/TcMar	9	0.0438119166667
DNA/Sola	9	0.00334575
DNA/PiggyBac	9	0.001582
DNA/P	9	0.00041275
DNA	9	0.0754115833333
DNA/Maverick	9	0.1063975
DNA/Kolobok	9	0.00197566666667
DNA/hAT	9	0.262005583333
DNA/Harbinger	9	0.00842391666667
DNA/Ginger	9	0.00096275
DNA/Academ	9	0.01457875
Other	9	0.0202226666667
SINE	10	0.0382325833333
LINE/R2	10	0.0294635
LINE/Jockey-I	10	0.0684624166667
LINE/R1	10	0.0116471666667
LINE/LOA	10	0
LINE/L2	10	0.00397625
LINE/CR1	10	0.0155056666667
LINE/RTE	10	0.245082666667
LINE	10	0.0208953333333
LINE/L1	10	0
LTR	10	0.00967908333333
LTR/Gypsy	10	0.150933666667
LTR/Copia	10	0.00948941666667
RC/Helitron	10	0.00975991666667
DNA/Transib	10	0.000376166666667
DNA/TcMar	10	0.0377408333333
DNA/Sola	10	0.00281808333333
DNA/PiggyBac	10	0.00109258333333
DNA/P	10	0.000478416666667
DNA	10	0.06779575
DNA/Maverick	10	0.106722833333
DNA/Kolobok	10	0.00243866666667
DNA/hAT	10	0.219626
DNA/Harbinger	10	0.0083255
DNA/Ginger	10	0.00123825
DNA/Academ	10	0.0132829166667
Other	10	0.0168965
SINE	11	0.0471125833333
LINE/R2	11	0.0396951666667
LINE/Jockey-I	11	0.0681554166667
LINE/R1	11	0.0120743333333
LINE/LOA	11	0
LINE/L2	11	0.00360308333333
LINE/CR1	11	0.0137391666667
LINE/RTE	11	0.268794583333
LINE	11	0.0187884166667
LINE/L1	11	0
LTR	11	0.00922016666667
LTR/Gypsy	11	0.161127916667
LTR/Copia	11	0.0102468333333
RC/Helitron	11	0.00894058333333
DNA/Transib	11	0.000137166666667
DNA/TcMar	11	0.0361944166667
DNA/Sola	11	0.00241175
DNA/PiggyBac	11	0.00113433333333
DNA/P	11	0.00032125
DNA	11	0.0606889166667
DNA/Maverick	11	0.0943561666667
DNA/Kolobok	11	0.00210875
DNA/hAT	11	0.190837916667
DNA/Harbinger	11	0.00838608333333
DNA/Ginger	11	0.00114583333333
DNA/Academ	11	0.0122851666667
Other	11	0.01543875
SINE	12	0.0599851666667
LINE/R2	12	0.04485625
LINE/Jockey-I	12	0.0628338333333
LINE/R1	12	0.0111281666667
LINE/LOA	12	0
LINE/L2	12	0.00218091666667
LINE/CR1	12	0.01248325
LINE/RTE	12	0.294395166667
LINE	12	0.0197623333333
LINE/L1	12	0
LTR	12	0.00953775
LTR/Gypsy	12	0.16504025
LTR/Copia	12	0.00842641666667
RC/Helitron	12	0.00783116666667
DNA/Transib	12	0.000152083333333
DNA/TcMar	12	0.0288919166667
DNA/Sola	12	0.00191991666667
DNA/PiggyBac	12	0.000975
DNA/P	12	0.000135333333333
DNA	12	0.0602368333333
DNA/Maverick	12	0.0900795
DNA/Kolobok	12	0.0025965
DNA/hAT	12	0.188992166667
DNA/Harbinger	12	0.0113035833333
DNA/Ginger	12	0.00109408333333
DNA/Academ	12	0.0101239166667
Other	12	0.0132354166667
SINE	13	0.06883175
LINE/R2	13	0.04431325
LINE/Jockey-I	13	0.0543703333333
LINE/R1	13	0.0100295833333
LINE/LOA	13	0
LINE/L2	13	0.002114
LINE/CR1	13	0.00950466666667
LINE/RTE	13	0.305203666667
LINE	13	0.0180655833333
LINE/L1	13	0
LTR	13	0.0090265
LTR/Gypsy	13	0.176598416667
LTR/Copia	13	0.00734191666667
RC/Helitron	13	0.009761
DNA/Transib	13	3.25833333333e-05
DNA/TcMar	13	0.0224248333333
DNA/Sola	13	0.00169416666667
DNA/PiggyBac	13	0.000705583333333
DNA/P	13	6.33333333333e-06
DNA	13	0.0577649166667
DNA/Maverick	13	0.0847595
DNA/Kolobok	13	0.00242675
DNA/hAT	13	0.202821416667
DNA/Harbinger	13	0.0139576666667
DNA/Ginger	13	0.00075025
DNA/Academ	13	0.00767708333333
Other	13	0.0119466666667
SINE	14	0.0658603333333
LINE/R2	14	0.0373649166667
LINE/Jockey-I	14	0.0507168333333
LINE/R1	14	0.00909116666667
LINE/LOA	14	0
LINE/L2	14	0.00141383333333
LINE/CR1	14	0.00943233333333
LINE/RTE	14	0.304015083333
LINE	14	0.0204866666667
LINE/L1	14	0
LTR	14	0.00926691666667
LTR/Gypsy	14	0.186946583333
LTR/Copia	14	0.00748508333333
RC/Helitron	14	0.0130403333333
DNA/Transib	14	8.36666666667e-05
DNA/TcMar	14	0.0205838333333
DNA/Sola	14	0.00100366666667
DNA/PiggyBac	14	0.000760333333333
DNA/P	14	2.675e-05
DNA	14	0.0572304166667
DNA/Maverick	14	0.0782215833333
DNA/Kolobok	14	0.00212483333333
DNA/hAT	14	0.221558833333
DNA/Harbinger	14	0.01975675
DNA/Ginger	14	0.000646
DNA/Academ	14	0.00714733333333
Other	14	0.0144330833333
SINE	15	0.0644304166667
LINE/R2	15	0.0324158333333
LINE/Jockey-I	15	0.0388315
LINE/R1	15	0.007486
LINE/LOA	15	0
LINE/L2	15	0.00147175
LINE/CR1	15	0.00824258333333
LINE/RTE	15	0.302179333333
LINE	15	0.02033125
LINE/L1	15	0
LTR	15	0.00861016666667
LTR/Gypsy	15	0.1903095
LTR/Copia	15	0.00713266666667
RC/Helitron	15	0.0178095
DNA/Transib	15	3.65833333333e-05
DNA/TcMar	15	0.0174485833333
DNA/Sola	15	0.00116641666667
DNA/PiggyBac	15	0.000228833333333
DNA/P	15	4.83333333333e-06
DNA	15	0.0608055
DNA/Maverick	15	0.06857525
DNA/Kolobok	15	0.00197783333333
DNA/hAT	15	0.250714166667
DNA/Harbinger	15	0.0258545833333
DNA/Ginger	15	0.00041675
DNA/Academ	15	0.00588541666667
Other	15	0.01562225
SINE	16	0.0560328333333
LINE/R2	16	0.023665
LINE/Jockey-I	16	0.0379110833333
LINE/R1	16	0.00820058333333
LINE/LOA	16	0
LINE/L2	16	0.00133758333333
LINE/CR1	16	0.00716675
LINE/RTE	16	0.2892055
LINE	16	0.01714875
LINE/L1	16	0
LTR	16	0.00849766666667
LTR/Gypsy	16	0.199534666667
LTR/Copia	16	0.004028
RC/Helitron	16	0.021473
DNA/Transib	16	0.000637083333333
DNA/TcMar	16	0.01468525
DNA/Sola	16	0.000822583333333
DNA/PiggyBac	16	0.000249833333333
DNA/P	16	6.99166666667e-05
DNA	16	0.06024575
DNA/Maverick	16	0.0552006666667
DNA/Kolobok	16	0.00177566666667
DNA/hAT	16	0.278642833333
DNA/Harbinger	16	0.0337185833333
DNA/Ginger	16	0.000334416666667
DNA/Academ	16	0.00543725
Other	16	0.018744
SINE	17	0.0530236666667
LINE/R2	17	0.0215708333333
LINE/Jockey-I	17	0.0348070833333
LINE/R1	17	0.006685
LINE/LOA	17	0
LINE/L2	17	0.0009485
LINE/CR1	17	0.00643116666667
LINE/RTE	17	0.263513
LINE	17	0.017585
LINE/L1	17	0
LTR	17	0.00749816666667
LTR/Gypsy	17	0.208159083333
LTR/Copia	17	0.00512425
RC/Helitron	17	0.0228190833333
DNA/Transib	17	0.000172166666667
DNA/TcMar	17	0.01462125
DNA/Sola	17	0.000821416666667
DNA/PiggyBac	17	0.000332333333333
DNA/P	17	0
DNA	17	0.05739425
DNA/Maverick	17	0.0496445
DNA/Kolobok	17	0.00146058333333
DNA/hAT	17	0.3017575
DNA/Harbinger	17	0.0419555
DNA/Ginger	17	0.000181083333333
DNA/Academ	17	0.00511025
Other	17	0.02484375
SINE	18	0.04239125
LINE/R2	18	0.0154483333333
LINE/Jockey-I	18	0.029086
LINE/R1	18	0.00698325
LINE/LOA	18	0
LINE/L2	18	0.00111991666667
LINE/CR1	18	0.0052425
LINE/RTE	18	0.237393833333
LINE	18	0.0169258333333
LINE/L1	18	0
LTR	18	0.00705316666667
LTR/Gypsy	18	0.207255916667
LTR/Copia	18	0.00529308333333
RC/Helitron	18	0.0205545
DNA/Transib	18	0.00022825
DNA/TcMar	18	0.0122721666667
DNA/Sola	18	0.000948166666667
DNA/PiggyBac	18	0.000211
DNA/P	18	3.68333333333e-05
DNA	18	0.05880325
DNA/Maverick	18	0.0457924166667
DNA/Kolobok	18	0.00132691666667
DNA/hAT	18	0.30873
DNA/Harbinger	18	0.046229
DNA/Ginger	18	7.6e-05
DNA/Academ	18	0.00515358333333
Other	18	0.0295923333333
SINE	19	0.0380975
LINE/R2	19	0.0124138333333
LINE/Jockey-I	19	0.025365
LINE/R1	19	0.00572408333333
LINE/LOA	19	0
LINE/L2	19	0.000581916666667
LINE/CR1	19	0.00567625
LINE/RTE	19	0.222634666667
LINE	19	0.01447225
LINE/L1	19	0
LTR	19	0.007608
LTR/Gypsy	19	0.208175666667
LTR/Copia	19	0.00486516666667
RC/Helitron	19	0.0179270833333
DNA/Transib	19	0.000221916666667
DNA/TcMar	19	0.01073775
DNA/Sola	19	0.000789
DNA/PiggyBac	19	0.000478416666667
DNA/P	19	4.09166666667e-05
DNA	19	0.0513811666667
DNA/Maverick	19	0.0383660833333
DNA/Kolobok	19	0.00104625
DNA/hAT	19	0.300857916667
DNA/Harbinger	19	0.05033225
DNA/Ginger	19	6.01666666667e-05
DNA/Academ	19	0.00544308333333
Other	19	0.0323790833333
SINE	20	0.0329075833333
LINE/R2	20	0.007317
LINE/Jockey-I	20	0.0247648333333
LINE/R1	20	0.00603625
LINE/LOA	20	0
LINE/L2	20	0.000573916666667
LINE/CR1	20	0.00530241666667
LINE/RTE	20	0.213250833333
LINE	20	0.0139698333333
LINE/L1	20	0
LTR	20	0.00825833333333
LTR/Gypsy	20	0.202064916667
LTR/Copia	20	0.0051095
RC/Helitron	20	0.01721475
DNA/Transib	20	0.000111583333333
DNA/TcMar	20	0.00919933333333
DNA/Sola	20	0.00086975
DNA/PiggyBac	20	0.00029925
DNA/P	20	4.75e-05
DNA	20	0.0496415833333
DNA/Maverick	20	0.039523
DNA/Kolobok	20	0.000895916666667
DNA/hAT	20	0.288424916667
DNA/Harbinger	20	0.0552374166667
DNA/Ginger	20	5.25e-06
DNA/Academ	20	0.00635516666667
Other	20	0.0350696666667
SINE	21	0.0277775833333
LINE/R2	21	0.00411933333333
LINE/Jockey-I	21	0.021996
LINE/R1	21	0.00487475
LINE/LOA	21	0
LINE/L2	21	0.00053925
LINE/CR1	21	0.00600375
LINE/RTE	21	0.198475166667
LINE	21	0.0114449166667
LINE/L1	21	0
LTR	21	0.00751108333333
LTR/Gypsy	21	0.193194166667
LTR/Copia	21	0.00413875
RC/Helitron	21	0.0150063333333
DNA/Transib	21	1.075e-05
DNA/TcMar	21	0.00853091666667
DNA/Sola	21	0.00078
DNA/PiggyBac	21	0.000572833333333
DNA/P	21	7.96666666667e-05
DNA	21	0.0465635
DNA/Maverick	21	0.03675975
DNA/Kolobok	21	0.000856416666667
DNA/hAT	21	0.26808325
DNA/Harbinger	21	0.0537394166667
DNA/Ginger	21	0
DNA/Academ	21	0.0072505
Other	21	0.0346175833333
SINE	22	0.0246909166667
LINE/R2	22	0.00356025
LINE/Jockey-I	22	0.0203301666667
LINE/R1	22	0.00466358333333
LINE/LOA	22	0
LINE/L2	22	0.00068425
LINE/CR1	22	0.00497233333333
LINE/RTE	22	0.186094666667
LINE	22	0.0110951666667
LINE/L1	22	0
LTR	22	0.00741708333333
LTR/Gypsy	22	0.184619833333
LTR/Copia	22	0.00470258333333
RC/Helitron	22	0.0118391666667
