Type	Kimura	Genome_percent
LINE/CR1	6	0.0279975833333
LINE/RTE	6	0.02142025
LINE	6	0.0106725833333
LINE/L1	6	0
LTR	6	0.0163779166667
LTR/Gypsy	6	0.164912916667
LTR/Copia	6	0.0215395833333
RC/Helitron	6	0.0227685
DNA/Transib	6	0.000101666666667
DNA/TcMar	6	0.0373669166667
DNA/Sola	6	0.0047045
DNA/PiggyBac	6	0.00122891666667
DNA/P	6	0.00024175
DNA	6	0.0480910833333
DNA/Maverick	6	0.0831539166667
DNA/Kolobok	6	0.000652833333333
DNA/hAT	6	0.2904375
DNA/Harbinger	6	0.00355508333333
DNA/Ginger	6	0
DNA/Academ	6	0.00728158333333
Other	6	0.00865625
SINE	7	0.0708755833333
LINE/R2	7	0.0178483333333
LINE/Jockey-I	7	0.0446715833333
LINE/R1	7	0.00774383333333
LINE/LOA	7	0
LINE/L2	7	0.00740041666667
LINE/CR1	7	0.02734925
LINE/RTE	7	0.03258975
LINE	7	0.0103479166667
LINE/L1	7	0
LTR	7	0.01709725
LTR/Gypsy	7	0.126836666667
LTR/Copia	7	0.02147325
RC/Helitron	7	0.0192969166667
DNA/Transib	7	1.125e-05
DNA/TcMar	7	0.045019
DNA/Sola	7	0.00340516666667
DNA/PiggyBac	7	0.00153583333333
DNA/P	7	0.000529333333333
DNA	7	0.05819575
DNA/Maverick	7	0.0848536666667
DNA/Kolobok	7	0.000164166666667
DNA/hAT	7	0.255301416667
DNA/Harbinger	7	0.00475283333333
DNA/Ginger	7	1.50833333333e-05
DNA/Academ	7	0.0094635
Other	7	0.01772275
SINE	8	0.05595475
LINE/R2	8	0.0285193333333
LINE/Jockey-I	8	0.04806575
LINE/R1	8	0.007008
LINE/LOA	8	1.00833333333e-05
LINE/L2	8	0.00524291666667
LINE/CR1	8	0.02056825
LINE/RTE	8	0.03656775
LINE	8	0.00884725
LINE/L1	8	0
LTR	8	0.0107559166667
LTR/Gypsy	8	0.11871075
LTR/Copia	8	0.0170035833333
RC/Helitron	8	0.0152973333333
DNA/Transib	8	7.78333333333e-05
DNA/TcMar	8	0.0424838333333
DNA/Sola	8	0.00164358333333
DNA/PiggyBac	8	0.001054
DNA/P	8	0.0002845
DNA	8	0.06625925
DNA/Maverick	8	0.0915045
DNA/Kolobok	8	0.000289083333333
DNA/hAT	8	0.247920833333
DNA/Harbinger	8	0.00530141666667
DNA/Ginger	8	0.000182583333333
DNA/Academ	8	0.008162
Other	8	0.03181475
SINE	9	0.042054
LINE/R2	9	0.04724925
LINE/Jockey-I	9	0.0426818333333
LINE/R1	9	0.00616916666667
LINE/LOA	9	0
LINE/L2	9	0.00395758333333
LINE/CR1	9	0.0154465833333
LINE/RTE	9	0.0597395833333
LINE	9	0.00894991666667
LINE/L1	9	0
LTR	9	0.0114841666667
LTR/Gypsy	9	0.11680525
LTR/Copia	9	0.0129430833333
RC/Helitron	9	0.013155
DNA/Transib	9	0
DNA/TcMar	9	0.0378434166667
DNA/Sola	9	0.00111166666667
