Type	Kimura	Genome_percent
LINE/RTE	6	0.0581353333333
LINE	6	0.03225125
LINE/L1	6	0
LTR	6	0.0100639166667
LTR/Gypsy	6	0.126984416667
LTR/Copia	6	0.0192639166667
RC/Helitron	6	0.00890083333333
DNA/Transib	6	0.000415166666667
DNA/TcMar	6	0.07109925
DNA/Sola	6	0.00606183333333
DNA/PiggyBac	6	0.00159583333333
DNA/P	6	0.000960833333333
DNA	6	0.09919175
DNA/Maverick	6	0.0825793333333
DNA/Kolobok	6	0.00181841666667
DNA/hAT	6	0.240899666667
DNA/Harbinger	6	0.00988891666667
DNA/Ginger	6	0
DNA/Academ	6	0.00335191666667
Other	6	0.00465008333333
SINE	7	0.0123073333333
LINE/R2	7	0.01000675
LINE/Jockey-I	7	0.05411975
LINE/R1	7	0.0135224166667
LINE/LOA	7	7e-06
LINE/L2	7	0.00439
LINE/CR1	7	0.0239610833333
LINE/RTE	7	0.0932435
LINE	7	0.0260828333333
LINE/L1	7	0
LTR	7	0.00864916666667
LTR/Gypsy	7	0.123467666667
LTR/Copia	7	0.0180085
RC/Helitron	7	0.0117706666667
DNA/Transib	7	0.000224416666667
DNA/TcMar	7	0.0689130833333
DNA/Sola	7	0.00505616666667
DNA/PiggyBac	7	0.00175191666667
DNA/P	7	0.000689333333333
DNA	7	0.0940763333333
DNA/Maverick	7	0.101928333333
DNA/Kolobok	7	0.000968666666667
DNA/hAT	7	0.183781083333
DNA/Harbinger	7	0.00522158333333
DNA/Ginger	7	0
DNA/Academ	7	0.00382141666667
Other	7	0.004435
SINE	8	0.0127035
LINE/R2	8	0.0159164166667
LINE/Jockey-I	8	0.0539175833333
LINE/R1	8	0.0108471666667
LINE/LOA	8	1.08333333333e-06
LINE/L2	8	0.00332891666667
LINE/CR1	8	0.0210159166667
LINE/RTE	8	0.136362
LINE	8	0.0180505833333
LINE/L1	8	0
LTR	8	0.0078545
LTR/Gypsy	8	0.107152166667
LTR/Copia	8	0.01913175
RC/Helitron	8	0.01469525
DNA/Transib	8	2.20833333333e-05
DNA/TcMar	8	0.0641546666667
DNA/Sola	8	0.00402283333333
DNA/PiggyBac	8	0.00167991666667
DNA/P	8	0.000938166666667
DNA	8	0.0787271666667
DNA/Maverick	8	0.123267333333
DNA/Kolobok	8	0.000688166666667
DNA/hAT	8	0.14247675
DNA/Harbinger	8	0.00754191666667
DNA/Ginger	8	0
DNA/Academ	8	0.003636
Other	8	0.00437583333333
SINE	9	0.0119169166667
LINE/R2	9	0.0330724166667
LINE/Jockey-I	9	0.0472090833333
LINE/R1	9	0.00922108333333
LINE/LOA	9	1.75e-05
LINE/L2	9	0.0040585
LINE/CR1	9	0.0164336666667
LINE/RTE	9	0.183982666667
LINE	9	0.01480775
LINE/L1	9	0
