Type	Kimura	Genome_percent
LINE	6	0.00909083333333
LINE/L1	6	0
LTR	6	0.009895
LTR/Gypsy	6	0.21041725
LTR/Copia	6	0.0208905
RC/Helitron	6	0.0230249166667
DNA/Transib	6	0.000105416666667
DNA/TcMar	6	0.0524123333333
DNA/Sola	6	0.00471866666667
DNA/PiggyBac	6	0.00268083333333
DNA/P	6	0.000286166666667
DNA	6	0.0837555
DNA/Maverick	6	0.167662166667
DNA/Kolobok	6	0.000771416666667
DNA/hAT	6	0.3584475
DNA/Harbinger	6	0.00920408333333
DNA/Ginger	6	0
DNA/Academ	6	0.0104768333333
Other	6	0.01372525
SINE	7	0.00517691666667
LINE/R2	7	0.0109803333333
LINE/Jockey-I	7	0.0473189166667
LINE/R1	7	0.0140775
LINE/LOA	7	4.66666666667e-06
LINE/L2	7	0.007349
LINE/CR1	7	0.0215249166667
LINE/RTE	7	0.0569854166667
LINE	7	0.0108808333333
LINE/L1	7	0
LTR	7	0.00814825
LTR/Gypsy	7	0.19114625
LTR/Copia	7	0.0206928333333
RC/Helitron	7	0.0199986666667
DNA/Transib	7	0
DNA/TcMar	7	0.05338025
DNA/Sola	7	0.0038435
DNA/PiggyBac	7	0.00162941666667
DNA/P	7	0.000176
DNA	7	0.0902818333333
DNA/Maverick	7	0.15721
DNA/Kolobok	7	0.000656083333333
DNA/hAT	7	0.313926833333
DNA/Harbinger	7	0.00819358333333
DNA/Ginger	7	0
DNA/Academ	7	0.0118088333333
Other	7	0.02065925
SINE	8	0.0056035
LINE/R2	8	0.0161355
LINE/Jockey-I	8	0.04633175
LINE/R1	8	0.010016
LINE/LOA	8	0
LINE/L2	8	0.00485416666667
LINE/CR1	8	0.0224181666667
LINE/RTE	8	0.0754909166667
LINE	8	0.00840616666667
LINE/L1	8	0
LTR	8	0.00771583333333
LTR/Gypsy	8	0.168566083333
LTR/Copia	8	0.01658925
RC/Helitron	8	0.0177118333333
DNA/Transib	8	4.41666666667e-06
DNA/TcMar	8	0.0450849166667
DNA/Sola	8	0.00288133333333
DNA/PiggyBac	8	0.001367
DNA/P	8	0.000277166666667
DNA	8	0.0952079166667
DNA/Maverick	8	0.140134833333
DNA/Kolobok	8	0.00140333333333
DNA/hAT	8	0.266830083333
DNA/Harbinger	8	0.00816133333333
DNA/Ginger	8	0
DNA/Academ	8	0.00965258333333
Other	8	0.0209608333333
SINE	9	0.0083675
LINE/R2	9	0.0219359166667
LINE/Jockey-I	9	0.0490909166667
LINE/R1	9	0.00610058333333
LINE/LOA	9	0
LINE/L2	9	0.00397241666667
LINE/CR1	9	0.0200273333333
LINE/RTE	9	0.0989528333333
LINE	9	0.00834325
LINE/L1	9	0
LTR	9	0.00742533333333
LTR/Gypsy	9	0.157812166667
LTR/Copia	9	0.0136196666667
RC/Helitron	9	0.0154889166667
DNA/Transib	9	0.00039025
DNA/TcMar	9	0.0369061666667
DNA/Sola	9	0.00120941666667
DNA/PiggyBac	9	0.000698
DNA/P	9	0.000161916666667
DNA	9	0.09264975
DNA/Maverick	9	0.135656
DNA/Kolobok	9	0.000778666666667
DNA/hAT	9	0.212955166667
DNA/Harbinger	9	0.006346
DNA/Ginger	9	0
DNA/Academ	9	0.00990525
Other	9	0.0196335833333
SINE	10	0.0133144166667
LINE/R2	10	0.0330261666667
LINE/Jockey-I	10	0.0476235
LINE/R1	10	0.00775891666667
LINE/LOA	10	0
LINE/L2	10	0.00282883333333
LINE/CR1	10	0.0145306666667
LINE/RTE	10	0.127534
LINE	10	0.0083575
LINE/L1	10	0
LTR	10	0.00565891666667
LTR/Gypsy	10	0.144660916667
LTR/Copia	10	0.0107494166667
RC/Helitron	10	0.0118950833333
DNA/Transib	10	0
DNA/TcMar	10	0.034278
DNA/Sola	10	0.001208
DNA/PiggyBac	10	0.000811583333333
DNA/P	10	0.00045225
DNA	10	0.0865133333333
DNA/Maverick	10	0.133888
DNA/Kolobok	10	0.00091775
DNA/hAT	10	0.173521916667
DNA/Harbinger	10	0.00633358333333
DNA/Ginger	10	0
DNA/Academ	10	0.0100794166667
Other	10	0.0194659166667
SINE	11	0.01999175
LINE/R2	11	0.0402499166667
LINE/Jockey-I	11	0.0469761666667
LINE/R1	11	0.00618875
LINE/LOA	11	4.58333333333e-06
LINE/L2	11	0.00285816666667
LINE/CR1	11	0.0123135833333
LINE/RTE	11	0.15112825
LINE	11	0.0102221666667
LINE/L1	11	0
LTR	11	0.00685233333333
LTR/Gypsy	11	0.136247833333
LTR/Copia	11	0.00963166666667
RC/Helitron	11	0.00971191666667
DNA/Transib	11	0.00010875
DNA/TcMar	11	0.0300290833333
DNA/Sola	11	0.000987583333333
DNA/PiggyBac	11	0.00070875
DNA/P	11	0.000158333333333
DNA	11	0.0862803333333
DNA/Maverick	11	0.138461666667
DNA/Kolobok	11	0.000483416666667
DNA/hAT	11	0.143954083333
DNA/Harbinger	11	0.00551716666667
DNA/Ginger	11	0
DNA/Academ	11	0.010262
Other	11	0.0210430833333
SINE	12	0.0301025
LINE/R2	12	0.0469115833333
LINE/Jockey-I	12	0.0419046666667
LINE/R1	12	0.00551766666667
LINE/LOA	12	0
LINE/L2	12	0.00216741666667
LINE/CR1	12	0.00826225
LINE/RTE	12	0.17207075
LINE	12	0.0112698333333
LINE/L1	12	0
LTR	12	0.006091
LTR/Gypsy	12	0.117353416667
LTR/Copia	12	0.007136
RC/Helitron	12	0.010403
DNA/Transib	12	4.5e-06
DNA/TcMar	12	0.0271005833333
DNA/Sola	12	0.000535916666667
DNA/PiggyBac	12	0.000537083333333
DNA/P	12	0.000336916666667
DNA	12	0.0871061666667
DNA/Maverick	12	0.180950166667
DNA/Kolobok	12	0.00123766666667
DNA/hAT	12	0.12755575
DNA/Harbinger	12	0.00542383333333
DNA/Ginger	12	0
DNA/Academ	12	0.00745541666667
Other	12	0.0238634166667
SINE	13	0.0359288333333
LINE/R2	13	0.052371
LINE/Jockey-I	13	0.039156
LINE/R1	13	0.00495725
LINE/LOA	13	0
LINE/L2	13	0.0015735
LINE/CR1	13	0.00787616666667
LINE/RTE	13	0.192996416667
LINE	13	0.0145485833333
LINE/L1	13	0
LTR	13	0.00734258333333
LTR/Gypsy	13	0.104925666667
LTR/Copia	13	0.0050825
RC/Helitron	13	0.01071925
DNA/Transib	13	8.64166666667e-05
DNA/TcMar	13	0.02242
DNA/Sola	13	0.000657583333333
DNA/PiggyBac	13	0.000350916666667
DNA/P	13	0.000119083333333
DNA	13	0.0921509166667
DNA/Maverick	13	0.212179833333
DNA/Kolobok	13	0.000882
DNA/hAT	13	0.11238075
DNA/Harbinger	13	0.00628258333333
DNA/Ginger	13	0
DNA/Academ	13	0.00727533333333
Other	13	0.03219825
SINE	14	0.0409231666667
LINE/R2	14	0.0528591666667
LINE/Jockey-I	14	0.0356949166667
LINE/R1	14	0.00389883333333
LINE/LOA	14	0
LINE/L2	14	0.00138875
LINE/CR1	14	0.00694608333333
LINE/RTE	14	0.19575275
LINE	14	0.0143044166667
LINE/L1	14	0
LTR	14	0.00530691666667
LTR/Gypsy	14	0.0982391666667
LTR/Copia	14	0.00589775
RC/Helitron	14	0.0122165833333
DNA/Transib	14	3.15833333333e-05
DNA/TcMar	14	0.018337
DNA/Sola	14	0.000205916666667
DNA/PiggyBac	14	0.000387
DNA/P	14	2.78333333333e-05
DNA	14	0.0898798333333
DNA/Maverick	14	0.255795416667
DNA/Kolobok	14	0.0009005
DNA/hAT	14	0.0988223333333
DNA/Harbinger	14	0.00648991666667
DNA/Ginger	14	0
DNA/Academ	14	0.00525
Other	14	0.0368495833333
SINE	15	0.04155325
LINE/R2	15	0.04692825
LINE/Jockey-I	15	0.03482675
LINE/R1	15	0.0038685
LINE/LOA	15	0
LINE/L2	15	0.00169816666667
LINE/CR1	15	0.00517316666667
LINE/RTE	15	0.205579416667
LINE	15	0.01807825
LINE/L1	15	0
LTR	15	0.00493358333333
LTR/Gypsy	15	0.08748625
LTR/Copia	15	0.00492733333333
RC/Helitron	15	0.0147215
DNA/Transib	15	2.9e-05
DNA/TcMar	15	0.01639625
DNA/Sola	15	0.000334333333333
DNA/PiggyBac	15	0.000102583333333
DNA/P	15	3.575e-05
DNA	15	0.0861605
DNA/Maverick	15	0.293646
DNA/Kolobok	15	0.00117508333333
DNA/hAT	15	0.0948669166667
DNA/Harbinger	15	0.00687791666667
DNA/Ginger	15	0
DNA/Academ	15	0.0052655
Other	15	0.0416849166667
SINE	16	0.0398369166667
LINE/R2	16	0.0415224166667
LINE/Jockey-I	16	0.03533625
LINE/R1	16	0.00390775
LINE/LOA	16	4.58333333333e-06
LINE/L2	16	0.00148025
LINE/CR1	16	0.00588658333333
LINE/RTE	16	0.211679583333
LINE	16	0.019823
LINE/L1	16	0
LTR	16	0.00468908333333
LTR/Gypsy	16	0.0857615833333
LTR/Copia	16	0.00468658333333
RC/Helitron	16	0.0192313333333
DNA/Transib	16	0.00018375
DNA/TcMar	16	0.0135654166667
DNA/Sola	16	0.00034725
DNA/PiggyBac	16	0.000197833333333
DNA/P	16	5.325e-05
DNA	16	0.085195
DNA/Maverick	16	0.324621333333
DNA/Kolobok	16	0.000949333333333
DNA/hAT	16	0.0904729166667
DNA/Harbinger	16	0.0088625
DNA/Ginger	16	0
DNA/Academ	16	0.00515516666667
Other	16	0.04027875
SINE	17	0.0378436666667
LINE/R2	17	0.0322555833333
LINE/Jockey-I	17	0.0312060833333
LINE/R1	17	0.00330358333333
LINE/LOA	17	0
LINE/L2	17	0.00155466666667
LINE/CR1	17	0.0063605
LINE/RTE	17	0.2027525
LINE	17	0.0214504166667
LINE/L1	17	0
LTR	17	0.00521225
LTR/Gypsy	17	0.087772
LTR/Copia	17	0.00301441666667
RC/Helitron	17	0.0191918333333
DNA/Transib	17	5.84166666667e-05
DNA/TcMar	17	0.01202525
DNA/Sola	17	0.000270333333333
DNA/PiggyBac	17	0.00015525
DNA/P	17	4.88333333333e-05
DNA	17	0.0781983333333
DNA/Maverick	17	0.329156833333
DNA/Kolobok	17	0.0015065
DNA/hAT	17	0.0875551666667
DNA/Harbinger	17	0.0111900833333
DNA/Ginger	17	0
DNA/Academ	17	0.00492058333333
Other	17	0.0389311666667
SINE	18	0.03124925
LINE/R2	18	0.0240039166667
LINE/Jockey-I	18	0.0261596666667
LINE/R1	18	0.00360441666667
LINE/LOA	18	0
LINE/L2	18	0.00160416666667
LINE/CR1	18	0.00484083333333
LINE/RTE	18	0.189591666667
LINE	18	0.0231006666667
LINE/L1	18	0
LTR	18	0.00574866666667
LTR/Gypsy	18	0.0873176666667
LTR/Copia	18	0.00572916666667
RC/Helitron	18	0.0203671666667
DNA/Transib	18	0.000379583333333
DNA/TcMar	18	0.0097
DNA/Sola	18	0.000224166666667
DNA/PiggyBac	18	0.000236083333333
DNA/P	18	7.25833333333e-05
DNA	18	0.0704391666667
DNA/Maverick	18	0.328845416667
DNA/Kolobok	18	0.000897416666667
DNA/hAT	18	0.0872736666667
DNA/Harbinger	18	0.013388
DNA/Ginger	18	0
DNA/Academ	18	0.00504875
Other	18	0.0347133333333
SINE	19	0.0273906666667
LINE/R2	19	0.0197156666667
LINE/Jockey-I	19	0.02458225
LINE/R1	19	0.00288575
LINE/LOA	19	0
LINE/L2	19	0.00140408333333
LINE/CR1	19	0.0050335
LINE/RTE	19	0.168425416667
LINE	19	0.0234264166667
LINE/L1	19	0
LTR	19	0.00563375
LTR/Gypsy	19	0.0850685
LTR/Copia	19	0.00655608333333
RC/Helitron	19	0.0205651666667
DNA/Transib	19	6.625e-05
DNA/TcMar	19	0.00860875
DNA/Sola	19	0.000575416666667
DNA/PiggyBac	19	0.0002715
DNA/P	19	6.70833333333e-05
DNA	19	0.0617391666667
DNA/Maverick	19	0.3146325
DNA/Kolobok	19	0.000984833333333
DNA/hAT	19	0.0836894166667
DNA/Harbinger	19	0.0154553333333
DNA/Ginger	19	0
DNA/Academ	19	0.005968
Other	19	0.0292715
SINE	20	0.0234993333333
LINE/R2	20	0.01406675
LINE/Jockey-I	20	0.0215909166667
LINE/R1	20	0.00297483333333
LINE/LOA	20	0
LINE/L2	20	0.0010445
LINE/CR1	20	0.004746
LINE/RTE	20	0.153170583333
LINE	20	0.0228115833333
LINE/L1	20	0
LTR	20	0.00494291666667
LTR/Gypsy	20	0.081709
LTR/Copia	20	0.00761875
RC/Helitron	20	0.0197225
DNA/Transib	20	7.63333333333e-05
DNA/TcMar	20	0.0090355
DNA/Sola	20	0.000206166666667
DNA/PiggyBac	20	0.00037975
DNA/P	20	7.68333333333e-05
DNA	20	0.0546884166667
DNA/Maverick	20	0.292266
DNA/Kolobok	20	0.000959
DNA/hAT	20	0.0821186666667
DNA/Harbinger	20	0.0178999166667
DNA/Ginger	20	0
DNA/Academ	20	0.00522058333333
Other	20	0.0240218333333
SINE	21	0.0214388333333
LINE/R2	21	0.01052975
LINE/Jockey-I	21	0.01839075
LINE/R1	21	0.00272558333333
