Type	Kimura	Genome_percent
LINE/LOA	6	7.16666666667e-06
LINE/L2	6	0.003663
LINE/CR1	6	0.0429456666667
LINE/RTE	6	0.0715790833333
LINE	6	0.00890816666667
LINE/L1	6	6.79166666667e-05
LTR	6	0.00719508333333
LTR/Gypsy	6	0.0907566666667
LTR/Copia	6	0.02854375
RC/Helitron	6	0.016297
DNA/Transib	6	0.000155833333333
DNA/TcMar	6	0.0649256666667
DNA/Sola	6	0.00459275
DNA/PiggyBac	6	0.00300716666667
DNA/P	6	0.000407083333333
DNA	6	0.100327583333
DNA/Maverick	6	0.083219
DNA/Kolobok	6	0.000212166666667
DNA/hAT	6	0.235619083333
DNA/Harbinger	6	0.0137683333333
DNA/Ginger	6	0
DNA/Academ	6	0.00402708333333
Other	6	0.00332558333333
SINE	7	0.0100651666667
LINE/R2	7	0.02703925
LINE/Jockey-I	7	0.0428731666667
LINE/R1	7	0.0105715
LINE/LOA	7	6.08333333333e-06
LINE/L2	7	0.00411791666667
LINE/CR1	7	0.0291211666667
LINE/RTE	7	0.0869043333333
LINE	7	0.00973275
LINE/L1	7	8.525e-05
LTR	7	0.00578975
LTR/Gypsy	7	0.0814419166667
LTR/Copia	7	0.0195211666667
RC/Helitron	7	0.01220775
DNA/Transib	7	0.000159
DNA/TcMar	7	0.06251025
DNA/Sola	7	0.00462025
DNA/PiggyBac	7	0.00421908333333
DNA/P	7	0.000368333333333
DNA	7	0.104039666667
DNA/Maverick	7	0.104972333333
DNA/Kolobok	7	0.000793916666667
DNA/hAT	7	0.219947583333
DNA/Harbinger	7	0.0115969166667
DNA/Ginger	7	0
DNA/Academ	7	0.00423375
Other	7	0.00329558333333
SINE	8	0.0204145
LINE/R2	8	0.042955
LINE/Jockey-I	8	0.0424333333333
LINE/R1	8	0.010054
LINE/LOA	8	0
LINE/L2	8	0.003092
LINE/CR1	8	0.0206919166667
LINE/RTE	8	0.118771333333
LINE	8	0.00890933333333
LINE/L1	8	1.5e-05
LTR	8	0.00601416666667
LTR/Gypsy	8	0.0848746666667
LTR/Copia	8	0.01268325
RC/Helitron	8	0.00975708333333
DNA/Transib	8	0.000182083333333
DNA/TcMar	8	0.0515689166667
DNA/Sola	8	0.00379725
DNA/PiggyBac	8	0.00307375
DNA/P	8	0.000482083333333
DNA	8	0.0987964166667
DNA/Maverick	8	0.144124916667
DNA/Kolobok	8	0.000774416666667
DNA/hAT	8	0.1821255
DNA/Harbinger	8	0.0155441666667
DNA/Ginger	8	0
DNA/Academ	8	0.00436283333333
Other	8	0.003631
SINE	9	0.0363355
LINE/R2	9	0.06219875
LINE/Jockey-I	9	0.04647625
LINE/R1	9	0.0111224166667
LINE/LOA	9	0
LINE/L2	9	0.00328341666667
LINE/CR1	9	0.0137743333333
LINE/RTE	9	0.15068875
LINE	9	0.0108174166667
LINE/L1	9	2.025e-05
LTR	9	0.004529
LTR/Gypsy	9	0.0810935833333
LTR/Copia	9	0.00725166666667
RC/Helitron	9	0.00749725
DNA/Transib	9	4.75e-06
DNA/TcMar	9	0.038458
DNA/Sola	9	0.00298925
DNA/PiggyBac	9	0.00974216666667
DNA/P	9	0.000492583333333
DNA	9	0.0927548333333
DNA/Maverick	9	0.167017166667
DNA/Kolobok	9	7.74166666667e-05
DNA/hAT	9	0.132381166667
DNA/Harbinger	9	0.0178958333333
DNA/Ginger	9	0
DNA/Academ	9	0.00547266666667
Other	9	0.004761
SINE	10	0.0629606666667
LINE/R2	10	0.0746689166667
LINE/Jockey-I	10	0.0466009166667
LINE/R1	10	0.00842633333333
LINE/LOA	10	0
LINE/L2	10	0.00309941666667
LINE/CR1	10	0.0104241666667
LINE/RTE	10	0.18216625
