sp	mean_theta_10k	median_theta_10k....unlist.lapply.thetas..median..
1_On	0.00851611933275347	0.00793940427
1_Os	0.00466747448508711	0.002686548345
2_As	0.014846911675672	0.0132119595
2_Sm	0.00846189238190146	0.007341976245
